seed,metric,main_value,baseline_value,delta,unit
0,success_rate,0.075,0.070625,0.004375000000000004,pp
0,risk_rate_lt_0_65,0.017574257425742576,0.0297029702970297,-0.012128712871287126,pp
0,risk_rate_lt_1_0,0.21767326732673267,0.2447029702970297,-0.027029702970297026,pp
0,deadlock_rate,0.925,0.929375,-0.004374999999999907,pp
0,objective,-2.3185678155374845,-2.5920190590604837,0.2734512435229992,raw
1111,success_rate,0.05875,0.05375,0.0049999999999999975,pp
1111,risk_rate_lt_0_65,0.026386138613861385,0.05044554455445545,-0.024059405940594063,pp
1111,risk_rate_lt_1_0,0.25905940594059407,0.2800495049504951,-0.02099009900990101,pp
1111,deadlock_rate,0.94125,0.94625,-0.0050000000000000044,pp
1111,objective,-2.237161856476369,-2.600251476026691,0.36308961955032215,raw
2222,success_rate,0.043125,0.04125,0.0018749999999999947,pp
2222,risk_rate_lt_0_65,0.01004950495049505,0.02292079207920792,-0.01287128712871287,pp
2222,risk_rate_lt_1_0,0.2691089108910891,0.3291584158415842,-0.06004950495049505,pp
2222,deadlock_rate,0.956875,0.95875,-0.00187499999999996,pp
2222,objective,-2.058480984942409,-2.3412689251457324,0.28278794020332354,raw
3333,success_rate,0.06375,0.07375,-0.009999999999999995,pp
3333,risk_rate_lt_0_65,0.022425742574257425,0.02915841584158416,-0.006732673267326735,pp
3333,risk_rate_lt_1_0,0.2304950495049505,0.2312871287128713,-0.0007920792079207928,pp
3333,deadlock_rate,0.93625,0.92625,0.010000000000000009,pp
3333,objective,-2.0147911305830695,-2.3568164052922698,0.3420252747092003,raw
