comparator,metric,metric_label,preferred_direction,kind,primary_mean,comparator_mean,delta_primary_minus_comparator,ci95_low,ci95_high,p_raw,p_holm,favorable,holm_significant
Direct teacher,success,Success,higher,rate,0.9296875,0.83984375,0.08984375,0.0234375,0.16015625,0.019809900950495247,0.31695841520792395,True,False
Direct teacher,collision,Collision,lower,rate,0.0546875,0.16015625,-0.10546875,-0.1796875,-0.0390625,0.007544962275188624,0.12826435867820662,True,False
Direct teacher,deadlock,Deadlock,lower,rate,0.015625,0.0,0.015625,0.00390625,0.03125,0.12560437197814012,1.0,False,False
Direct teacher,progress,Goal progress (m),higher,value,2.3856227181645018,3.1028255120439794,-0.7172027938794776,-0.7489769644874246,-0.6877748062949006,4.9999750001249995e-06,9.999950000249999e-05,False,False
Direct teacher,objective_s,Objective per second,higher,value,-0.5532654766081558,-0.685353257936365,0.13208778132820925,-0.038225500574067275,0.31562347005706026,0.16180919095404522,1.0,True,False
Waypoint teacher,success,Success,higher,rate,0.9296875,0.9140625,0.015625,-0.01953125,0.0546875,0.5603671981640092,1.0,True,False
Waypoint teacher,collision,Collision,lower,rate,0.0546875,0.06640625,-0.01171875,-0.05078125,0.0234375,0.7049414752926235,1.0,True,False
Waypoint teacher,deadlock,Deadlock,lower,rate,0.015625,0.01953125,-0.00390625,-0.01953125,0.01171875,1.0,1.0,True,False
Waypoint teacher,progress,Goal progress (m),higher,value,2.3856227181645018,3.059173677662944,-0.6735509594984426,-0.7200804328822529,-0.6196470940539311,4.9999750001249995e-06,9.999950000249999e-05,False,False
Waypoint teacher,objective_s,Objective per second,higher,value,-0.5532654766081558,-0.3840449864358608,-0.16922049017229499,-0.20696698175979178,-0.13047916944341725,4.9999750001249995e-06,9.999950000249999e-05,False,False
Coordinated teacher,success,Success,higher,rate,0.9296875,0.92578125,0.00390625,-0.01953125,0.03125,1.0,1.0,True,False
Coordinated teacher,collision,Collision,lower,rate,0.0546875,0.0625,-0.0078125,-0.03125,0.01171875,0.7496512517437413,1.0,True,False
Coordinated teacher,deadlock,Deadlock,lower,rate,0.015625,0.01171875,0.00390625,-0.01171875,0.01953125,1.0,1.0,False,False
Coordinated teacher,progress,Goal progress (m),higher,value,2.3856227181645018,2.4002021950357246,-0.01457947687122254,-0.057413116462995815,0.024177917817241597,0.4865275673621632,1.0,False,False
Coordinated teacher,objective_s,Objective per second,higher,value,-0.5532654766081558,-0.5383021815755202,-0.014963295032635555,-0.03992494934323501,0.00864794830650407,0.2488437557812211,1.0,False,False
Initial bounded BC,success,Success,higher,rate,0.9296875,0.9296875,0.0,-0.0234375,0.0234375,1.0,1.0,False,False
Initial bounded BC,collision,Collision,lower,rate,0.0546875,0.0546875,0.0,-0.01953125,0.01953125,1.0,1.0,False,False
Initial bounded BC,deadlock,Deadlock,lower,rate,0.015625,0.015625,0.0,-0.01953125,0.01953125,1.0,1.0,False,False
Initial bounded BC,progress,Goal progress (m),higher,value,2.3856227181645018,2.3926166051005247,-0.006993886936022688,-0.0370014063796327,0.019210492512904277,0.6465267673661632,1.0,False,False
Initial bounded BC,objective_s,Objective per second,higher,value,-0.5532654766081558,-0.5329173611144377,-0.020348115493718167,-0.0504294934689112,0.008280575422015508,0.19161404192979034,1.0,False,False
