baseline,baseline_display,metric,metric_label,direction,kind,delta,hierarchical_ci_low,hierarchical_ci_high,conditional_environment_p,holm_p,favorable_training_seed_pairs,training_seed_pair_count
mappo,MAPPO,success,Success,higher,rate,0.9114583333333334,0.8802083333333334,0.94140625,4.9999750001249995e-06,0.000124999375003125,9,9
mappo,MAPPO,collision,Collision,lower,rate,-0.6184895833333334,-0.6796875,-0.5572916666666666,4.9999750001249995e-06,0.000124999375003125,9,9
mappo,MAPPO,deadlock,Deadlock,lower,rate,-0.29296875,-0.3463541666666667,-0.23828125000000003,4.9999750001249995e-06,0.000124999375003125,9,9
mappo,MAPPO,progress,Goal progress,higher,value,3.6488242321864433,3.3702955519667954,3.9265499868024296,4.9999750001249995e-06,0.000124999375003125,9,9
mappo,MAPPO,objective_s,Objective/s,higher,value,3.5008965373129826,3.3213865898047024,3.702325143583499,4.9999750001249995e-06,0.000124999375003125,9,9
ippo,IPPO,success,Success,higher,rate,0.91015625,0.8802083333333333,0.9388020833333334,4.9999750001249995e-06,0.000124999375003125,9,9
ippo,IPPO,collision,Collision,lower,rate,-0.40494791666666663,-0.4622395833333333,-0.34765625,4.9999750001249995e-06,0.000124999375003125,9,9
ippo,IPPO,deadlock,Deadlock,lower,rate,-0.5052083333333333,-0.5598958333333333,-0.44921875,4.9999750001249995e-06,0.000124999375003125,9,9
ippo,IPPO,progress,Goal progress,higher,value,3.5359488822115623,3.115601767175488,4.040708421630634,4.9999750001249995e-06,0.000124999375003125,9,9
ippo,IPPO,objective_s,Objective/s,higher,value,2.598074722099266,2.2703932173993002,2.9792511383812608,4.9999750001249995e-06,0.000124999375003125,9,9
lagrangian,MAPPO-Lagrangian,success,Success,higher,rate,0.9114583333333334,0.8802083333333333,0.94140625,4.9999750001249995e-06,0.000124999375003125,9,9
lagrangian,MAPPO-Lagrangian,collision,Collision,lower,rate,-0.5286458333333333,-0.6302083333333334,-0.43359375000000006,4.9999750001249995e-06,0.000124999375003125,9,9
lagrangian,MAPPO-Lagrangian,deadlock,Deadlock,lower,rate,-0.3828125,-0.4739583333333333,-0.28125,4.9999750001249995e-06,0.000124999375003125,9,9
lagrangian,MAPPO-Lagrangian,progress,Goal progress,higher,value,3.8929146306495532,3.5720783913539735,4.24529662138095,4.9999750001249995e-06,0.000124999375003125,9,9
lagrangian,MAPPO-Lagrangian,objective_s,Objective/s,higher,value,3.431307751743454,3.2664561673005896,3.60021515416139,4.9999750001249995e-06,0.000124999375003125,9,9
mat,MAT,success,Success,higher,rate,0.91015625,0.87890625,0.9401041666666666,4.9999750001249995e-06,0.000124999375003125,9,9
mat,MAT,collision,Collision,lower,rate,-0.5091145833333334,-0.5729166666666666,-0.43619791666666663,4.9999750001249995e-06,0.000124999375003125,9,9
mat,MAT,deadlock,Deadlock,lower,rate,-0.40104166666666663,-0.47265625,-0.34114583333333337,4.9999750001249995e-06,0.000124999375003125,9,9
mat,MAT,progress,Goal progress,higher,value,3.9273303489727938,3.3425427959621765,4.373540379326948,4.9999750001249995e-06,0.000124999375003125,9,9
mat,MAT,objective_s,Objective/s,higher,value,3.6573430504357765,3.0898234408347736,4.076901873685921,4.9999750001249995e-06,0.000124999375003125,9,9
hatrpo,HATRPO,success,Success,higher,rate,0.9127604166666667,0.8828125,0.94140625,4.9999750001249995e-06,0.000124999375003125,9,9
hatrpo,HATRPO,collision,Collision,lower,rate,-0.6979166666666666,-0.8411458333333334,-0.5442708333333334,4.9999750001249995e-06,0.000124999375003125,9,9
hatrpo,HATRPO,deadlock,Deadlock,lower,rate,-0.21484375,-0.3658854166666667,-0.07161458333333333,4.9999750001249995e-06,0.000124999375003125,9,9
hatrpo,HATRPO,progress,Goal progress,higher,value,3.6635379111611015,3.3705958924180384,3.950500597414888,4.9999750001249995e-06,0.000124999375003125,9,9
hatrpo,HATRPO,objective_s,Objective/s,higher,value,4.163862890036465,3.521219411395332,4.9991211860357065,4.9999750001249995e-06,0.000124999375003125,9,9
