method,display,training_seed,environment_seed_count,success,collision,deadlock,progress,objective_s,risk_065,risk_100,moving,path_length,final_goal_distance,transit_risk_065,transit_risk_100,success_training_seed_sd,collision_training_seed_sd,deadlock_training_seed_sd,progress_training_seed_sd,objective_s_training_seed_sd,risk_065_training_seed_sd,risk_100_training_seed_sd,moving_training_seed_sd,path_length_training_seed_sd,final_goal_distance_training_seed_sd,transit_risk_065_training_seed_sd,transit_risk_100_training_seed_sd
proposed,Proposed,171001,32,0.91796875,0.06640625,0.015625,2.3471016373795726,-0.5792237103066804,0.22298502139800286,0.5068206134094151,0.9918420114122682,7.085623091295686,1.2063054299889755,0.025729366429872523,0.10559720425255698,,,,,,,,,,,,
proposed,Proposed,171002,32,0.90234375,0.08203125,0.015625,2.3572505046391514,-0.5623012679633592,0.21857168330955776,0.4791815263908702,0.9905603601997146,7.087741065820892,1.1961565627293962,0.026783505025145947,0.10433360656486096,,,,,,,,,,,,
proposed,Proposed,171003,32,0.91796875,0.07421875,0.0078125,2.3741668530137465,-0.5497995275645031,0.21206312410841655,0.48533345221112695,0.9902427335948645,6.990703713010174,1.1792402143548015,0.02659917837823629,0.10910080032697797,,,,,,,,,,,,
proposed,Proposed,all,32,0.9127604166666666,0.07421875,0.013020833333333334,2.35950633167749,-0.563774835278181,0.21787327627199238,0.4904451973371374,0.9908817017356158,7.05468929004225,1.1939007356910578,0.026370683277751588,0.10634387038146531,0.009021097956087904,0.0078125,0.004510548978043951,0.013672894391871051,0.01476733499940812,0.005494341579630706,0.014511279629296757,0.0008466803832211006,0.05542325328883348,0.013672894391871016,0.0005629916098134971,0.002469750356298394
mappo,MAPPO,240000,32,0.00390625,0.67578125,0.3203125,-1.5025328536285087,-4.031297344009628,0.10649964336661913,0.27817403708987165,0.9946059201141226,25.646998074163772,5.0588362365961075,0.004074217953943346,0.011332662522926432,,,,,,,,,,,,
mappo,MAPPO,240001,32,0.0,0.67578125,0.32421875,-1.1380744258640334,-3.9593298820796234,0.10155135520684737,0.30376248216833096,0.9942047075606276,26.101063173445276,4.69152856618166,0.0038338088445078458,0.012892933564295904,,,,,,,,,,,,
mappo,MAPPO,240002,32,0.0,0.7265625,0.2734375,-1.2273464220343158,-4.203386891684239,0.14109308131241083,0.34312589158345225,0.9942047075606277,27.961273448233435,4.783097147941589,0.005268302934583248,0.01452325759119625,,,,,,,,,,,,
mappo,MAPPO,all,32,0.0013020833333333333,0.6927083333333334,0.3059895833333333,-1.2893179005089526,-4.064671372591164,0.1163813599619591,0.3083541369472183,0.9943384450784594,26.56977823194749,4.844487316906452,0.004392109911011481,0.012916284559472862,0.002255274489021976,0.029318568357285683,0.028258508351836856,0.18996798282970634,0.12540464633380918,0.021543520325258192,0.032718470635791884,0.00023164017576257008,1.2262699463439413,0.1911943927537441,0.0007682673986912177,0.0015954257031114724
ippo,IPPO,240000,32,0.00390625,0.5,0.49609375,-0.8640359932323918,-3.059188133385097,0.21277639087018546,0.4772646219686163,0.9964336661911556,14.595675160679438,4.4167443960905075,0.008344265844711637,0.02329898614224577,,,,,,,,,,,,
ippo,IPPO,240001,32,0.0,0.4765625,0.5234375,-1.6969627476064488,-3.5591217012953744,0.24687945791726107,0.5219775320970044,0.9970131954350928,15.553835258328409,5.24990738928318,0.010439486957407785,0.02552476054615855,,,,,,,,,,,,
