scenario,scenario_display,training_seed,environment_seed_count,success,collision,deadlock,progress,objective_s,risk_065,risk_100,moving,path_length,final_goal_distance,transit_risk_065,transit_risk_100,success_training_seed_sd,success_hierarchical_ci_low,success_hierarchical_ci_high,collision_training_seed_sd,collision_hierarchical_ci_low,collision_hierarchical_ci_high,deadlock_training_seed_sd,deadlock_hierarchical_ci_low,deadlock_hierarchical_ci_high,progress_training_seed_sd,progress_hierarchical_ci_low,progress_hierarchical_ci_high,objective_s_training_seed_sd,objective_s_hierarchical_ci_low,objective_s_hierarchical_ci_high,risk_065_training_seed_sd,risk_065_hierarchical_ci_low,risk_065_hierarchical_ci_high,risk_100_training_seed_sd,risk_100_hierarchical_ci_low,risk_100_hierarchical_ci_high,moving_training_seed_sd,moving_hierarchical_ci_low,moving_hierarchical_ci_high,path_length_training_seed_sd,path_length_hierarchical_ci_low,path_length_hierarchical_ci_high,final_goal_distance_training_seed_sd,final_goal_distance_hierarchical_ci_low,final_goal_distance_hierarchical_ci_high,transit_risk_065_training_seed_sd,transit_risk_065_hierarchical_ci_low,transit_risk_065_hierarchical_ci_high,transit_risk_100_training_seed_sd,transit_risk_100_hierarchical_ci_low,transit_risk_100_hierarchical_ci_high
obstacle4_nominal,Obstacle-4 nominal,171001,16,0.875,0.125,0.0,2.045693882385647,-0.5479842278129259,0.021843794579172612,0.19481098430813126,0.985489479315264,7.244367152184283,1.2117537498929967,0.004105887039363874,0.09864606874879112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obstacle4_nominal,Obstacle-4 nominal,171002,16,0.875,0.125,0.0,2.0958861416949843,-0.5765818328209329,0.031116262482168332,0.19641583452211125,0.9872503566333808,7.452080815447401,1.1615614905836589,0.004975848803141307,0.0967347820487361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obstacle4_nominal,Obstacle-4 nominal,171003,16,0.890625,0.109375,0.0,2.053039744487702,-0.607329301828708,0.01881241084165478,0.1965941512125535,0.9867822753209701,7.0998933574168674,1.204407887790941,0.0020298514432691987,0.1000844160916598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obstacle4_nominal,Obstacle-4 nominal,all,16,0.8802083333333334,0.11979166666666667,0.0,2.0648732561894447,-0.5772984541541889,0.023924155967665242,0.19594032334759867,0.9865073704232049,7.265447108349517,1.1925743760891987,0.0037038624285914597,0.09848842229639566,0.009021097956087904,0.7760416666666666,0.96875,0.009021097956087904,0.03125,0.22395833333333334,0.0,0.0,0.0,0.02710792730992892,1.6761627129641306,2.4830021720140674,0.029679026467964272,-0.815269668906819,-0.3924316507438138,0.006410313481257391,0.007964812173086068,0.04701616737993342,0.0009820917523691182,0.16735021398002856,0.23216833095577746,0.0009120590767466751,0.9786465763195435,0.9931348074179742,0.1770374954986889,6.656507002843489,7.93045247039432,0.027107927309929156,1.1494406299878335,1.2584785199609376,0.0015135861230347583,0.0007192769657735945,0.008230028562250484,0.0016803723868068616,0.08683936967089906,0.11092124191187915
obstacle8_dense_large,Obstacle-8 dense/large,171001,16,0.71875,0.2421875,0.0390625,2.3390513849626426,-1.0229477272160374,0.34218972895863053,0.5977175463623394,0.9914742332382311,7.34621537970446,1.2219337649225963,0.03155065069308391,0.11157347197974372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obstacle8_dense_large,Obstacle-8 dense/large,171002,16,0.6796875,0.265625,0.0546875,2.3404811721080128,-0.9593586991643955,0.349679029957204,0.5997681883024251,0.9920871968616263,7.425979080322624,1.2205039777772264,0.029435899799126277,0.09986503334105631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obstacle8_dense_large,Obstacle-8 dense/large,171003,16,0.6953125,0.2734375,0.03125,2.355147551761821,-1.0665531085653055,0.3379992867332382,0.5710592011412268,0.9922543687589158,7.481381979676514,1.2058375981234182,0.02663986990740498,0.09297255937624435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obstacle8_dense_large,Obstacle-8 dense/large,all,16,0.6979166666666666,0.2604166666666667,0.041666666666666664,2.3448933696108254,-1.0162865116485795,0.3432893485496909,0.5895149786019971,0.9919385996195911,7.417858813234532,1.2160917802744136,0.029208806799871725,0.10147035489901479,0.019661027175184243,0.6015625,0.7838541666666666,0.01626301562082916,0.1875,0.3411458333333333,0.011933790872280832,0.005208333333333333,0.09895833333333333,0.008909111151490403,2.035710777343547,2.6745169985866,0.05390676392002753,-1.1870820917304246,-0.8594414982167281,0.005917007087897282,0.2583207025677603,0.4347368342843555,0.016016025547954078,0.4922432239657632,0.6875,0.0004107477485195,0.9877890216357584,0.9953266167379932,0.06794818974915949,6.874452638744726,7.9572967840674735,0.008909111151490458,1.1358278449316586,1.3076604298421248,0.0024632540274971966,0.021208165768892374,0.03858202809192773,0.009403790746241121,0.08046762692473827,0.1263310557926056
obstacle8_sparse_small,Obstacle-8 sparse/small,171001,16,0.9765625,0.015625,0.0078125,1.9720866060841404,-0.33936857258379566,0.2006062767475036,0.48707203994293874,0.98597985021398,6.859250411310351,1.1989248958030858,0.029045703917300006,0.11734543364732211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obstacle8_sparse_small,Obstacle-8 sparse/small,171002,16,0.96875,0.0234375,0.0078125,1.9958389482046741,-0.3528612462701394,0.20256776034236804,0.4589871611982882,0.9900476997146933,6.793356006869047,1.1751725536825521,0.029424489260691914,0.11771345407681162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
