method,display,training_seed,runtime_environment_seed_count,policy_ms_per_frame,coordination_ms_per_frame,end_to_end_ms_per_frame,policy_ms_per_frame_training_seed_sd,coordination_ms_per_frame_training_seed_sd,end_to_end_ms_per_frame_training_seed_sd
proposed,Proposed,171001,3,0.9405085857334505,2.464050823267721,9.161301382301513,,,
proposed,Proposed,171002,3,0.8487449322594219,2.3754389860936986,8.885221113196184,,,
proposed,Proposed,171003,3,0.9216305612704017,2.374661812489906,9.01263345316523,,,
proposed,Proposed,all,3,0.9036280264210914,2.4047172072837752,9.019718649554308,0.04845833747123269,0.051385888033587214,0.13817644065911353
mappo,MAPPO,240000,3,2.219250401823759,0.07452182778705548,11.189049059428037,,,
mappo,MAPPO,240001,3,2.34399907355094,0.07253887284152065,11.174957086065325,,,
mappo,MAPPO,240002,3,2.5645271026261667,0.07328322763475924,11.592993932492504,,,
mappo,MAPPO,all,3,2.3759255260002887,0.07344797608777846,11.319000025995289,0.17483842198941638,0.0010016906301770147,0.23739027260298104
ippo,IPPO,240000,3,2.253337182723255,0.07190902274446513,11.052307250578584,,,
ippo,IPPO,240001,3,2.254571197562219,0.07240269506390903,11.203556359010202,,,
ippo,IPPO,240002,3,2.2601021869301605,0.07321383409721123,11.16612351117979,,,
ippo,IPPO,all,3,2.2560035224052117,0.0725085173018618,11.140662373589526,0.0036027748086374864,0.0006588109942144067,0.07877357009735307
lagrangian,MAPPO-Lagrangian,240000,3,2.1864991550140895,0.07367138328080997,11.714799679980338,,,
lagrangian,MAPPO-Lagrangian,240001,3,2.204987932480693,0.07312828578868429,11.187720071802362,,,
lagrangian,MAPPO-Lagrangian,240002,3,2.2069366780644435,0.07248708368927821,11.074824450308682,,,
lagrangian,MAPPO-Lagrangian,all,3,2.199474588519742,0.07309558425292416,11.325781400697126,0.011279220200539316,0.0005928266386190596,0.3415959185213775
mat,MAT,240000,3,45.002144684022426,0.09941396447015051,54.07224733095882,,,
mat,MAT,240001,3,45.17845070614042,0.0970789785592104,54.25910240418867,,,
mat,MAT,240002,3,46.33674700927127,0.09894384831777776,55.440172124600906,,,
mat,MAT,all,3,45.50578079981137,0.09847893044904622,54.5905072865828,0.7250169544961571,0.00123497014926338,0.7417388066706422
hatrpo,HATRPO,240000,3,12.70762431652341,0.07991380216217238,24.057062778407015,,,
hatrpo,HATRPO,240001,3,12.863693695171186,0.08056394584953902,23.615677180213748,,,
hatrpo,HATRPO,240002,3,12.906666138343146,0.07831642941823756,22.15587779220215,,,
hatrpo,HATRPO,all,3,12.825994716679247,0.07959805914331632,23.27620591694097,0.1047393022834873,0.0011565477801240046,0.9950159003170292
