action_component_clip_rate,agent_collision_rate,avg_true_objective,avg_true_objective_per_second,canonical_collision_rate,completed_obstacle_agent_exposure_count,completed_obstacle_agent_risk_count_clearance_lt_0_20,completed_obstacle_agent_risk_count_clearance_lt_0_35,completed_obstacle_agent_risk_rate_clearance_lt_0_20,completed_obstacle_agent_risk_rate_clearance_lt_0_35,completed_pair_exposure_count,completed_pair_risk_count_dist_lt_0_65,completed_pair_risk_count_dist_lt_1_0,completed_pair_risk_rate_dist_lt_0_65,completed_pair_risk_rate_dist_lt_1_0,coordinator_wall_ms_per_frame,deadlock_rate,environment_num_agents,environment_obstacle_density,environment_obstacle_size,episode_wall_seconds,final_goal_distance_mean,frames,goal_progress_mean,initial_physical_hash,initial_physical_state_sha256,moving_frame_ratio,obstacle_agent_frame_exposure_count,obstacle_agent_frame_risk_count_clearance_lt_0_20,obstacle_agent_frame_risk_count_clearance_lt_0_35,obstacle_agent_frame_risk_rate_clearance_lt_0_20,obstacle_agent_frame_risk_rate_clearance_lt_0_35,obstacle_collision_rate,pair_frame_exposure_count,pair_frame_risk_count_dist_lt_0_65,pair_frame_risk_count_dist_lt_1_0,pair_frame_risk_rate_dist_lt_0_65,pair_frame_risk_rate_dist_lt_1_0,path_length_mean,policy_wall_ms_per_frame,projected_action_component_clip_rate,radius_entry_rate,risk_rate_dist_lt_0_65,risk_rate_dist_lt_1_0,safety_projection,safety_projection_active_pairs_mean,safety_projection_candidate_pairs_mean,safety_projection_corrected_agent_rate,safety_projection_correction_l2_max,safety_projection_correction_l2_mean,safety_projection_intervention_rate,safety_projection_predicted_min_after_mean,safety_projection_predicted_min_before_mean,seed,success_rate,sync_stage_egress_agent_count,sync_stage_egress_radius_m,sync_stage_enabled,sync_stage_max_frames,sync_stage_radius_m,sync_stage_ready_radius_m,sync_stage_release_frame,sync_stage_released,teacher_takeover,teacher_takeover_active_disagreement_mean,teacher_takeover_agent_frame_rate,teacher_takeover_frame_rate,teacher_takeover_release_count,teacher_takeover_start_count,transit_obstacle_agent_exposure_count,transit_obstacle_agent_risk_count_clearance_lt_0_20,transit_obstacle_agent_risk_count_clearance_lt_0_35,transit_obstacle_agent_risk_rate_clearance_lt_0_20,transit_obstacle_agent_risk_rate_clearance_lt_0_35,transit_pair_exposure_count,transit_pair_risk_count_dist_lt_0_65,transit_pair_risk_count_dist_lt_1_0,transit_pair_risk_rate_dist_lt_0_65,transit_pair_risk_rate_dist_lt_1_0,variant,waypoint_active_agent_frame_rate,waypoint_clearance_buffer_m,waypoint_enabled,waypoint_grid_resolution_m,waypoint_inflated_obstacle_radius_m,waypoint_initial_detour_ratio,waypoint_initial_direct_distance_mean_m,waypoint_initial_intermediate_count_mean,waypoint_initial_path_length_mean_m,waypoint_reached_radius_m,waypoint_replan_count,waypoint_replan_interval_frames,waypoint_retarget_count,waypoint_room_margin_m,waypoint_search_failure_count,waypoint_switch_count
0.0,0.0,-4.625746793176127,-0.6608209704537324,0.25,551,0,0,0.0,0.0,462,0,39,0.0,0.08441558441558442,1.2716638081167,0.0,4,0.2,0.6,5.207965253008297,0.9886492273662559,701,2.12954733457864,0e6d194a29f345a87fcad2c3fd238bd0d5b5e9c866141287d2c3ee9d2c6fb719,61d5e3ec76502ccb4fe15822f3b6f083dcb9824f3ecbc6d1b2a3512bd8c304dc,0.9989300998573466,2804,113,220,0.04029957203994294,0.07845934379457917,0.25,4206,0,295,0.0,0.07013789824060865,6.938191171647652,0.9326216921352445,0.0,1.0,0.0,0.16547788873038516,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,251000,0.75,3.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,2253,113,220,0.05015534842432313,0.09764758100310697,3744,0,256,0.0,0.06837606837606838,bounded_bc_train171002,0.36483594864479313,0.35,1.0,0.25,0.6959619407771256,1.0437486503406173,3.00174778636527,0.5,3.1330702006816864,0.3,5.0,25.0,11.0,0.15,0.0,4.0
0.0,0.0,-2.063367973927786,-0.29476685341825515,0.0,788,0,0,0.0,0.0,1040,0,134,0.0,0.12884615384615383,1.203956918752076,0.0,4,0.2,0.6,3.393391375982901,1.1962758660568031,701,1.6200145662835348,704a3341c4aa15ae79b1f60405e5eeeccf02821c0a1361c54d45bbf5c7004781,fb9a8189e421e4e2707a9a29720f3e57aeb4e0e0a0554aee83008cfeaa818e9a,0.9975035663338089,2804,0,0,0.0,0.0,0.0,4206,0,496,0.0,0.11792677127912506,7.595800136317534,0.7289749270932119,0.0,1.0,0.0,0.19686162624821682,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,251001,1.0,4.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,2016,0,0,0.0,0.0,3166,0,362,0.0,0.11433986102337335,bounded_bc_train171002,0.13231098430813124,0.35,1.0,0.25,0.6959619407771256,1.0401090470290617,2.8185593354027225,0.5,2.9316090643405914,0.3,2.0,25.0,12.0,0.15,0.0,4.0
0.0,0.0,-2.0948959886497818,-0.29927085552139737,0.0,800,0,0,0.0,0.0,1122,0,213,0.0,0.18983957219251338,1.2206708005670666,0.0,4,0.2,0.6,3.456979763985146,1.1912107063975215,701,1.3612752858960817,9bc9cf79038ef4934e1f26aa10905c5c440f6d2c214f28ef7d3a9dbae8867795,778079d35cfff139a69f6ddba78345c4ded3ab628fa02f57b5737d284b95c1a7,0.9903708987161198,2804,34,50,0.012125534950071327,0.01783166904422254,0.0,4206,21,547,0.004992867332382311,0.1300523062291964,6.840286886161905,0.8221654862945318,0.0,1.0,0.029957203994293864,0.275320970042796,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,251002,1.0,4.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,2004,34,50,0.016966067864271458,0.0249500998003992,3084,21,334,0.006809338521400778,0.10830090791180286,bounded_bc_train171002,0.181169757489301,0.35,1.0,0.25,0.6959619407771256,1.005619720887104,2.3571609055472096,0.25,2.3704074919223785,0.3,1.0,25.0,12.0,0.15,0.0,1.0
0.0,0.0,-10.691965465282912,-1.527423637897559,0.5,438,0,0,0.0,0.0,281,0,36,0.0,0.12811387900355872,1.2393384719680671,0.0,4,0.2,0.6,3.5288568469986785,1.2112333031373317,701,1.9701269111770348,f2ab062144245a4f2bf199c5952c2209c12530b7430f7ce85729fc528e5688df,99338a996a7965e22d6a3e530d8d90027308feecd3fcd59d799a915cab3603bd,0.9868045649072753,2804,187,305,0.06669044222539229,0.10877318116975748,0.5,4206,108,282,0.025677603423680456,0.06704707560627675,9.564955752841279,0.8537419889399253,0.0,0.75,0.15406562054208273,0.38516405135520687,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,251003,0.5,3.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,2366,187,305,0.0790363482671175,0.12890955198647505,3925,108,246,0.027515923566878982,0.06267515923566878,bounded_bc_train171002,0.32417974322396576,0.35,1.0,0.25,0.6959619407771256,1.0781608088804184,2.999906442406829,0.75,3.2343815565109253,0.3,8.0,25.0,11.0,0.15,0.0,7.0
0.0,0.0,-1.5546246691806687,-0.22208923845438125,0.0,982,0,0,0.0,0.0,1450,34,279,0.023448275862068966,0.19241379310344828,1.2214643134321677,0.0,4,0.2,0.6,3.470763307006564,1.171632744171164,701,1.6649826278756978,060f2d4bbdd2f48a99f25369b10a92caae36e455098c08e2defbe4912b1e2b9a,2323972dfca5d3eea4ed58c9d6b5335a0f05bab7c4dfa4d0bf69099b831b0707,0.9572039942938659,2804,27,47,0.00962910128388017,0.016761768901569187,0.0,4206,50,532,0.011887779362815026,0.12648597242035187,5.1444408296526465,0.8338205958915855,0.0,1.0,0.04136947218259629,0.15121255349500715,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,251004,1.0,4.0,1.2,1.0,350.0,1.2,0.3,316.0,1.0,none,0.0,0.0,0.0,0.0,0.0,1822,27,47,0.014818880351262349,0.02579582875960483,2756,16,253,0.005805515239477504,0.09179970972423802,bounded_bc_train171002,0.04136947218259629,0.35,1.0,0.25,0.6959619407771256,1.0170506939056818,2.515593240359228,0.25,2.5584858506917953,0.3,0.0,25.0,12.0,0.15,0.0,1.0
0.0,0.0,-5.653634597323844,-0.8076620853319777,0.25,480,0,0,0.0,0.0,302,0,39,0.0,0.1291390728476821,1.2282079526043221,0.0,4,0.2,0.6,3.4525312350015156,1.0269213583630497,701,0.9096081238297007,533fd89ad72194abaa294493ed5b003f33c483adf7cdef63b6e6f6314f86f461,1eafd7ed8bbe840f4a714c01e9315baaf3b6252f7f205f8fb67085777491e097,0.9989300998573466,2804,129,201,0.04600570613409415,0.0716833095577746,0.25,4206,54,247,0.012838801711840228,0.05872563005230623,8.58363261408876,0.7608081037680168,0.0,1.0,0.04992867332382311,0.16833095577746077,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,251005,0.75,3.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,2324,129,201,0.055507745266781414,0.08648881239242685,3904,54,208,0.013831967213114754,0.05327868852459016,bounded_bc_train171002,0.17154065620542083,0.35,1.0,0.25,0.6959619407771256,1.0366795643784577,1.801465476730338,0.25,1.8675424456596375,0.3,8.0,25.0,11.0,0.15,0.0,5.0
0.0,0.0,-2.6908505991300586,-0.38440722844715125,0.0,882,0,0,0.0,0.0,1270,0,225,0.0,0.17716535433070865,1.241079716238734,0.0,4,0.2,0.6,3.56044517699047,1.174713043987516,701,2.178494622926078,f9f8b6d78d39778e8c2d4109529b80cd9d7e06d306138affa38fc4e53df2312c,6ae363849f3cb636ff58c349ef78a56029384c705691bc9d64a0c985bf7b4a18,0.988944365192582,2804,21,94,0.007489300998573466,0.033523537803138374,0.0,4206,0,485,0.0,0.11531145981930575,8.202987254158842,0.9003500878437556,0.0,1.0,0.0,0.15263908701854492,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,251006,1.0,4.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,1922,21,94,0.010926118626430802,0.04890738813735692,2936,0,260,0.0,0.0885558583106267,bounded_bc_train171002,0.13017118402282454,0.35,1.0,0.25,0.6959619407771256,1.037491486080742,3.1682474384553836,0.75,3.28702974319458,0.3,3.0,25.0,12.0,0.15,0.0,3.0
0.0,0.0,-2.617186171159636,-0.37388373873709085,0.0,852,0,0,0.0,0.0,1244,0,263,0.0,0.21141479099678456,1.2278707344921973,0.0,4,0.2,0.6,3.4554547000152525,1.1828422560697243,701,3.2304027653004117,94da279ace0f6450236581b7389bf1e1058ba66b4322eee5c3f707d7dc094880,149b4eff396654ff11d88b8fec21d4275ec7e816dfedab9644aa54538c8f92a2,0.9996433666191156,2804,0,18,0.0,0.006419400855920114,0.0,4206,0,504,0.0,0.11982881597717546,7.238702857586389,0.7662639630023129,0.0,1.0,0.0,0.14550641940085593,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,251007,1.0,4.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,1952,0,18,0.0,0.009221311475409836,2962,0,241,0.0,0.08136394328156651,bounded_bc_train171002,0.13801711840228245,0.35,1.0,0.25,0.6959619407771256,1.0056862900274577,4.353998247504039,0.5,4.37875634431839,0.3,0.0,25.0,12.0,0.15,0.0,2.0
0.0,0.0,-2.06606743887869,-0.29515249126838433,0.0,1017,0,0,0.0,0.0,1477,19,247,0.012863913337846988,0.16723087339201084,1.2137441407738336,0.0,4,0.2,0.6,3.415338642022107,1.1812015471102153,701,2.444976224787657,a5d77f804e308d772eb2fe507629c70e198986087a11824de6d8151dd9c14c1e,836f7f0e0ecb6ca28f883dcde63af1dbfec8b1cc8b7556cefe732dadb727a7d4,0.9789586305278174,2804,67,133,0.023894436519258204,0.04743223965763196,0.0,4206,19,521,0.00451735615786971,0.12387066096053258,5.90450738983021,0.7360181645835655,0.0,1.0,0.02710413694721826,0.14835948644793154,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,251008,1.0,4.0,1.2,1.0,350.0,1.2,0.3,311.0,1.0,none,0.0,0.0,0.0,0.0,0.0,1787,67,133,0.03749300503637381,0.07442641298265248,2729,0,274,0.0,0.10040307805056797,bounded_bc_train171002,0.155848787446505,0.35,1.0,0.25,0.6959619407771256,1.0497074453503827,3.376925264201498,0.75,3.544783592224121,0.3,7.0,25.0,12.0,0.15,0.0,5.0
0.0,0.0,-3.2940082599295124,-0.4705726085613589,0.0,848,0,0,0.0,0.0,1239,0,277,0.0,0.22356739305891848,1.2150806558853846,0.0,4,0.2,0.6,3.4106863779888954,1.1805391161192913,701,2.145719486636069,579a552436d3fe06851a604f87f9dc08bcc6143d0fdcc94e0d46a80886533628,4385d69c6c615c29de1a21078b717e634154655ae14066ef9408403a245764cd,0.9950071326676176,2804,16,88,0.005706134094151213,0.03138373751783167,0.0,4206,0,508,0.0,0.12077983832620066,6.145996449730293,0.7437293388025195,0.0,1.0,0.0,0.14693295292439373,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,251009,1.0,4.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,1956,16,88,0.0081799591002045,0.044989775051124746,2967,0,231,0.0,0.07785642062689585,bounded_bc_train171002,0.07952924393723253,0.35,1.0,0.25,0.6959619407771256,1.0001975973254638,3.1511942965844533,0.25,3.151816964149475,0.3,3.0,25.0,12.0,0.15,0.0,3.0
