action_component_clip_rate,agent_collision_rate,avg_true_objective,avg_true_objective_per_second,canonical_collision_rate,completed_obstacle_agent_exposure_count,completed_obstacle_agent_risk_count_clearance_lt_0_20,completed_obstacle_agent_risk_count_clearance_lt_0_35,completed_obstacle_agent_risk_rate_clearance_lt_0_20,completed_obstacle_agent_risk_rate_clearance_lt_0_35,completed_pair_exposure_count,completed_pair_risk_count_dist_lt_0_65,completed_pair_risk_count_dist_lt_1_0,completed_pair_risk_rate_dist_lt_0_65,completed_pair_risk_rate_dist_lt_1_0,coordinator_wall_ms_per_frame,deadlock_rate,environment_num_agents,environment_obstacle_density,environment_obstacle_size,episode_wall_seconds,final_goal_distance_mean,frames,goal_progress_mean,initial_physical_hash,initial_physical_state_sha256,moving_frame_ratio,obstacle_agent_frame_exposure_count,obstacle_agent_frame_risk_count_clearance_lt_0_20,obstacle_agent_frame_risk_count_clearance_lt_0_35,obstacle_agent_frame_risk_rate_clearance_lt_0_20,obstacle_agent_frame_risk_rate_clearance_lt_0_35,obstacle_collision_rate,pair_frame_exposure_count,pair_frame_risk_count_dist_lt_0_65,pair_frame_risk_count_dist_lt_1_0,pair_frame_risk_rate_dist_lt_0_65,pair_frame_risk_rate_dist_lt_1_0,path_length_mean,policy_wall_ms_per_frame,projected_action_component_clip_rate,radius_entry_rate,risk_rate_dist_lt_0_65,risk_rate_dist_lt_1_0,safety_projection,safety_projection_active_pairs_mean,safety_projection_candidate_pairs_mean,safety_projection_corrected_agent_rate,safety_projection_correction_l2_max,safety_projection_correction_l2_mean,safety_projection_intervention_rate,safety_projection_predicted_min_after_mean,safety_projection_predicted_min_before_mean,seed,success_rate,sync_stage_egress_agent_count,sync_stage_egress_radius_m,sync_stage_enabled,sync_stage_max_frames,sync_stage_radius_m,sync_stage_ready_radius_m,sync_stage_release_frame,sync_stage_released,teacher_takeover,teacher_takeover_active_disagreement_mean,teacher_takeover_agent_frame_rate,teacher_takeover_frame_rate,teacher_takeover_release_count,teacher_takeover_start_count,transit_obstacle_agent_exposure_count,transit_obstacle_agent_risk_count_clearance_lt_0_20,transit_obstacle_agent_risk_count_clearance_lt_0_35,transit_obstacle_agent_risk_rate_clearance_lt_0_20,transit_obstacle_agent_risk_rate_clearance_lt_0_35,transit_pair_exposure_count,transit_pair_risk_count_dist_lt_0_65,transit_pair_risk_count_dist_lt_1_0,transit_pair_risk_rate_dist_lt_0_65,transit_pair_risk_rate_dist_lt_1_0,variant,waypoint_active_agent_frame_rate,waypoint_clearance_buffer_m,waypoint_enabled,waypoint_grid_resolution_m,waypoint_inflated_obstacle_radius_m,waypoint_initial_detour_ratio,waypoint_initial_direct_distance_mean_m,waypoint_initial_intermediate_count_mean,waypoint_initial_path_length_mean_m,waypoint_reached_radius_m,waypoint_replan_count,waypoint_replan_interval_frames,waypoint_retarget_count,waypoint_room_margin_m,waypoint_search_failure_count,waypoint_switch_count
0.0,0.0,-10.640163749112034,-1.5200233927302906,0.375,1083,214,352,0.19759926131117267,0.3250230840258541,2196,102,460,0.04644808743169399,0.20947176684881602,3.5600501124513935,0.125,8,0.3,0.8,8.288696136994986,1.0834143427287395,701,3.314232315393702,862ccadccd963c3e54548443ad36ca5912c98d47c6e4d42ea2f68cd3de93b85a,7a8665adfa104029aeb355aefc1ef1bac27f7c837b00cb17a43ae4e4aeeb87c8,0.9900142653352354,5608,403,862,0.07186162624821683,0.1537089871611983,0.375,19628,308,1393,0.015691868758915834,0.0709700427960057,7.784164979096042,1.001534541062785,0.0,0.75,0.15691868758915833,0.4108416547788873,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,252000,0.5,6.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,4525,189,510,0.04176795580110497,0.112707182320442,17432,206,933,0.011817347407067462,0.05352225791647545,bounded_bc_train171002,0.5477888730385164,0.35,1.0,0.25,0.7959619407771256,1.3836148549155054,4.087367129979769,1.875,5.655341878533363,0.3,23.0,25.0,22.0,0.15,0.0,27.0
0.0,0.0,-6.216387547332548,-0.8880553639046498,0.125,1783,0,0,0.0,0.0,3376,289,933,0.0856042654028436,0.27636255924170616,3.587457782173059,0.125,8,0.3,0.8,6.705347271985374,1.0761107612917287,701,1.4407457491771063,834affa534534ead12cb40e1d253a6fd8d48011f5ee75a1873e66a3fdc96367d,44bb5cb41112610564ca268f1d77990efd88e75e34536272ed11d562264d25df,0.9800285306704708,5608,230,336,0.04101283880171184,0.05991440798858773,0.125,19628,596,2266,0.030364785001018954,0.11544732015488078,6.012417640371774,0.9845885376830568,0.0,0.875,0.31383737517831667,0.6490727532097005,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,252001,0.75,7.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3825,230,336,0.06013071895424837,0.08784313725490196,16252,307,1333,0.01888998277135122,0.08202067437853802,bounded_bc_train171002,0.24197574893009985,0.35,1.0,0.25,0.7959619407771256,1.2733172020001484,2.2330757592710753,0.625,2.8434137776494026,0.3,8.0,25.0,22.0,0.15,0.0,9.0
0.0,0.0,-6.114165552908439,-0.8734522218440627,0.375,1473,286,323,0.19416157501697218,0.21928038017651053,4383,185,793,0.04220853296828656,0.1809263061829797,3.5040065332796804,0.0,8,0.3,0.8,6.517969366977923,1.154384730115554,701,3.070865917779625,a921d90c08b881ccc8aaf4b4894d57aa72ff9af8a80a9f33685184aa884c9cdb,834e836c40a14fb7b5b88e34406066939d9ff4cfd14abde046bc73698577bc6d,0.9935805991440799,5608,470,701,0.08380884450784594,0.125,0.375,19628,1176,4003,0.05991440798858773,0.20394334624006522,8.275994394390812,0.8517620604190996,0.0,1.0,0.5920114122681883,0.8815977175463623,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,252002,0.625,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,4135,184,378,0.04449818621523579,0.09141475211608223,15245,991,3210,0.0650049196457855,0.21056083961954739,bounded_bc_train171002,0.3329172610556348,0.35,1.0,0.25,0.7959619407771256,1.0756289230612306,4.039398360969675,1.125,4.344893708825111,0.3,11.0,25.0,24.0,0.15,0.0,7.0
0.0,0.5,-7.288815015962015,-1.0412592879945737,0.75,803,80,190,0.099626400996264,0.23661270236612703,1131,134,514,0.1184792219274978,0.45446507515473034,3.7118478611904795,0.0,8,0.3,0.8,8.121475116990041,1.6178385303692324,701,1.9422114449106302,066c457590f510338a17e24b1a806d1a9416a3eca5bb024272d045e4facbd29b,235dcbf5fef041aa9a9686ab464dad2bd018d273f58599c3e694c4279c1f90f4,0.9967902995720399,5608,493,1175,0.08791012838801712,0.20952211126961484,0.375,19628,1542,4393,0.07856123904626044,0.2238129203179132,8.59501622957854,0.9338102160541795,0.0,0.75,0.7218259629101283,0.9429386590584878,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,252003,0.25,4.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,4805,413,985,0.08595213319458897,0.20499479708636836,18497,1408,3879,0.07612045196518355,0.20970968265124074,bounded_bc_train171002,0.43081312410841655,0.35,1.0,0.25,0.7959619407771256,1.2576022092510712,3.428953913310168,1.375,4.312260016798973,0.3,25.0,25.0,20.0,0.15,0.0,28.0
0.0,0.25,-8.931771714296929,-1.2759673877567042,0.375,686,0,114,0.0,0.1661807580174927,885,53,195,0.059887005649717516,0.22033898305084745,3.5526942559793597,0.0,8,0.3,0.8,6.716514154017204,0.8202603459440051,701,2.455942089552607,40c5358024ad6ac05bde245fb804ccaa44c3a94a404493c48079ca5903dd632e,a859f5d218f5c4c15a91f3079362b74465016f82171ddfb90ce4c9f6f1b38f67,0.9903708987161198,5608,387,1237,0.06900855920114123,0.22057774607703282,0.25,19628,605,1777,0.030823313633584676,0.09053393111880986,7.658704801561388,0.9987533489240867,0.0,0.75,0.5135520684736091,0.7703281027104137,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,252004,0.625,5.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,4922,387,1123,0.0786265745631857,0.22815928484355952,18743,552,1582,0.029450995038147576,0.08440484447527077,bounded_bc_train171002,0.635342368045649,0.35,1.0,0.25,0.7959619407771256,1.2702704786247754,2.965838615128082,1.75,3.76741723716259,0.3,18.0,25.0,21.0,0.15,0.0,26.0
0.0,0.0,-10.339264453644127,-1.4770377790920182,0.375,1376,323,529,0.23473837209302326,0.38444767441860467,4007,337,1272,0.08410282006488645,0.31744447217369604,3.3751819357501818,0.125,8,0.3,0.8,6.580849746009335,1.069940357399266,701,3.8230343763905488,db6b7268b7d73051e1676fb5838d176c9803940b38f620a8adc38742ea96089d,7e69d4bf16c1af00f05b7c9caa1949ee577fc769d83bc9641cd0d7dfe370d8b3,0.9994650499286734,5608,500,1358,0.0891583452211127,0.2421540656205421,0.375,19628,943,2968,0.04804361116771958,0.15121255349500715,9.449486594724492,0.9999424419661429,0.0,1.0,0.442225392296719,0.5905848787446505,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,252005,0.5,7.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,4232,177,829,0.041824196597353494,0.19588846880907373,15621,606,1696,0.03879393124639908,0.10857179437936111,bounded_bc_train171002,0.4662981455064194,0.35,1.0,0.25,0.7959619407771256,1.021131968878812,4.737987793947902,0.75,4.8381108045578,0.3,43.0,25.0,23.0,0.15,0.0,34.0
0.0,0.0,-5.237655918863073,-0.7482365598375819,0.0,1558,0,0,0.0,0.0,4948,290,1039,0.058609539207760714,0.20998383185125302,3.5380043727349086,0.0,8,0.3,0.8,6.713628728000913,1.1822435430287754,701,3.1592288342992294,7b5545a41ef31aaf5c6d7e5b5a258fb5b575f28524e07f61844de8beb354a7a4,d53d1e417363c743c2697fc23d738270f3d97977721e08cc42affa941aac42a0,0.9991084165477889,5608,35,262,0.006241084165477888,0.046718972895863055,0.0,19628,565,2358,0.02878540859995924,0.12013450173221928,8.275110479123903,1.0214310467240537,0.0,1.0,0.19971469329529243,0.536376604850214,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,252006,1.0,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,4050,35,262,0.008641975308641974,0.06469135802469136,14680,275,1319,0.018732970027247955,0.08985013623978201,bounded_bc_train171002,0.3361269614835949,0.35,1.0,0.25,0.7959619407771256,1.1976828449787493,4.173331632192282,1.375,4.998327702283859,0.3,11.0,25.0,24.0,0.15,0.0,19.0
0.0,0.25,-9.460586083821347,-1.351512297688764,0.25,351,11,159,0.03133903133903134,0.452991452991453,235,61,164,0.25957446808510637,0.6978723404255319,3.568857277721265,0.375,8,0.3,0.8,6.60252613198827,1.4596327479285154,701,2.726954414795966,b9d4f7ff54e3c563b36807703098e440bb956cf6a6415f19c6ab17546691aead,ddd5be51f2d4869d0b216f8060d3139c0eee2f84eda47b53a7033b5c46818249,0.9966119828815977,5608,432,1457,0.07703281027104136,0.2598074179743224,0.125,19628,1233,2428,0.06281842266150398,0.12370083554106379,9.569796673089016,0.8732795402455474,0.0,0.5,0.6718972895863052,0.8430813124108416,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,252007,0.375,3.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,5257,421,1298,0.08008369792657409,0.24690888339357048,19393,1172,2264,0.06043417728046202,0.11674315474655804,bounded_bc_train171002,0.8760699001426534,0.35,1.0,0.25,0.7959619407771256,1.6774062180457052,4.00693188328474,2.875,6.721252456307411,0.3,51.0,25.0,19.0,0.15,0.0,53.0
0.0,0.0,-5.139679005606631,-0.7342398579438044,0.125,1480,0,0,0.0,0.0,4345,302,1117,0.06950517836593786,0.2570771001150748,3.5605958801014657,0.0,8,0.3,0.8,6.673055438004667,1.097634635401881,701,2.2186111015030905,f0d55dbe4ca474bcbe102d44646d8f38976b2e9790752f1fd9769c2152062467,aa63cc102e066900015d92b0e1d1546197f02a2711357462ddf9e506802244d2,0.9985734664764622,5608,165,291,0.02942225392296719,0.05189015691868759,0.125,19628,692,2375,0.03525575708171999,0.1210006113715101,6.739081672114962,0.9660736020633183,0.0,0.875,0.3124108416547789,0.5592011412268189,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,252008,0.875,7.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,4128,165,291,0.03997093023255814,0.07049418604651163,15283,390,1258,0.02551855002290126,0.08231368186874305,bounded_bc_train171002,0.20470756062767476,0.35,1.0,0.25,0.7959619407771256,1.1366067956346537,3.030500386349011,0.75,3.4444873332977295,0.3,9.0,25.0,23.0,0.15,0.0,11.0
0.0,0.0,-3.6586670544701074,-0.5226667220671583,0.125,1499,0,0,0.0,0.0,4532,223,893,0.049205648720211825,0.1970432480141218,3.5097753022848557,0.0,8,0.3,0.8,6.539606432983419,1.1643916013057976,701,2.118295611237641,f4227bb57cf82ca21d89badc3d3a1252f3343cdedc39b72fa2da2a53459846d5,348f9e1c5cc529f6f10df9c2108f7ee5aa55c0d9111e5a51146fe3258e4946be,0.9978601997146933,5608,49,175,0.008737517831669045,0.031205420827389443,0.125,19628,465,2122,0.02369064601589566,0.10811086203382922,7.685083794697668,0.8251808800707344,0.0,1.0,0.181169757489301,0.463623395149786,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,252009,0.875,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,4109,49,175,0.01192504258943782,0.04258943781942078,15096,242,1229,0.016030736618971912,0.08141229464758877,bounded_bc_train171002,0.19846647646219687,0.35,1.0,0.25,0.7959619407771256,1.0573012723240405,3.009951655533328,0.625,3.1824257150292397,0.3,8.0,25.0,24.0,0.15,0.0,11.0
