action_component_clip_rate,agent_collision_rate,avg_true_objective,avg_true_objective_per_second,canonical_collision_rate,completed_obstacle_agent_exposure_count,completed_obstacle_agent_risk_count_clearance_lt_0_20,completed_obstacle_agent_risk_count_clearance_lt_0_35,completed_obstacle_agent_risk_rate_clearance_lt_0_20,completed_obstacle_agent_risk_rate_clearance_lt_0_35,completed_pair_exposure_count,completed_pair_risk_count_dist_lt_0_65,completed_pair_risk_count_dist_lt_1_0,completed_pair_risk_rate_dist_lt_0_65,completed_pair_risk_rate_dist_lt_1_0,coordinator_wall_ms_per_frame,deadlock_rate,environment_num_agents,environment_obstacle_density,environment_obstacle_size,episode_wall_seconds,final_goal_distance_mean,frames,goal_progress_mean,initial_physical_hash,initial_physical_state_sha256,moving_frame_ratio,obstacle_agent_frame_exposure_count,obstacle_agent_frame_risk_count_clearance_lt_0_20,obstacle_agent_frame_risk_count_clearance_lt_0_35,obstacle_agent_frame_risk_rate_clearance_lt_0_20,obstacle_agent_frame_risk_rate_clearance_lt_0_35,obstacle_collision_rate,pair_frame_exposure_count,pair_frame_risk_count_dist_lt_0_65,pair_frame_risk_count_dist_lt_1_0,pair_frame_risk_rate_dist_lt_0_65,pair_frame_risk_rate_dist_lt_1_0,path_length_mean,policy_wall_ms_per_frame,projected_action_component_clip_rate,radius_entry_rate,risk_rate_dist_lt_0_65,risk_rate_dist_lt_1_0,safety_projection,safety_projection_active_pairs_mean,safety_projection_candidate_pairs_mean,safety_projection_corrected_agent_rate,safety_projection_correction_l2_max,safety_projection_correction_l2_mean,safety_projection_intervention_rate,safety_projection_predicted_min_after_mean,safety_projection_predicted_min_before_mean,seed,success_rate,sync_stage_egress_agent_count,sync_stage_egress_radius_m,sync_stage_enabled,sync_stage_max_frames,sync_stage_radius_m,sync_stage_ready_radius_m,sync_stage_release_frame,sync_stage_released,teacher_takeover,teacher_takeover_active_disagreement_mean,teacher_takeover_agent_frame_rate,teacher_takeover_frame_rate,teacher_takeover_release_count,teacher_takeover_start_count,transit_obstacle_agent_exposure_count,transit_obstacle_agent_risk_count_clearance_lt_0_20,transit_obstacle_agent_risk_count_clearance_lt_0_35,transit_obstacle_agent_risk_rate_clearance_lt_0_20,transit_obstacle_agent_risk_rate_clearance_lt_0_35,transit_pair_exposure_count,transit_pair_risk_count_dist_lt_0_65,transit_pair_risk_count_dist_lt_1_0,transit_pair_risk_rate_dist_lt_0_65,transit_pair_risk_rate_dist_lt_1_0,variant,waypoint_active_agent_frame_rate,waypoint_clearance_buffer_m,waypoint_enabled,waypoint_grid_resolution_m,waypoint_inflated_obstacle_radius_m,waypoint_initial_detour_ratio,waypoint_initial_direct_distance_mean_m,waypoint_initial_intermediate_count_mean,waypoint_initial_path_length_mean_m,waypoint_reached_radius_m,waypoint_replan_count,waypoint_replan_interval_frames,waypoint_retarget_count,waypoint_room_margin_m,waypoint_search_failure_count,waypoint_switch_count
0.0,0.0,-2.1667755295126767,-0.3095393613589538,0.0,1963,0,0,0.0,0.0,4548,353,1181,0.07761653474054529,0.259674582233949,2.5007226011986856,0.0,8,0.2,0.6,6.785128882009303,1.0800218898851126,701,1.138865670804998,bcfc38663e783c07b45bcf771a46ec17a89ff704ecf79bae51a17ff77d32dfa6,79e766e7a7f4cc19daf5dd91829723958551fe092264d20445803efc7c380170,0.9894793152639088,5608,52,162,0.009272467902995721,0.028887303851640515,0.0,19628,865,3091,0.04406969635214999,0.15747911147340535,6.695872765995171,0.9099552862063188,0.0,1.0,0.2781740370898716,0.6248216833095578,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,250000,1.0,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3645,52,162,0.014266117969821674,0.044444444444444446,15080,512,1910,0.03395225464190981,0.126657824933687,bounded_bc_train171001,0.1537089871611983,0.35,1.0,0.25,0.6959619407771256,1.1207789222614732,2.0072843021905893,0.5,2.249721936881542,0.3,5.0,25.0,23.0,0.15,0.0,8.0
0.0,0.0,-3.7497824985888997,-0.5356832140841286,0.0,1523,0,0,0.0,0.0,4465,372,1154,0.08331466965285554,0.25845464725643896,2.488587553868304,0.125,8,0.2,0.6,6.687644212011946,1.1977457496020656,701,1.305973853114648,dd541ea1f0eebf9255a578fc20716057eabfdd38e39e39c8625fec3f175d21c1,8f7eff6068e6c078e6c340fa65947d281263d2fb022eeb25576ae21e8179c59d,0.9998216833095578,5608,28,150,0.004992867332382311,0.02674750356633381,0.0,19628,607,2188,0.030925208885265947,0.11147340533931119,6.837827482327157,0.8475300116921521,0.0,0.875,0.1383737517831669,0.4037089871611983,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,250001,0.875,7.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,4085,28,150,0.006854345165238678,0.03671970624235006,15163,235,1034,0.015498252324737848,0.06819231022884653,bounded_bc_train171001,0.14621968616262482,0.35,1.0,0.25,0.6959619407771256,1.0161554094275533,2.261183720687047,0.125,2.2977140694856644,0.3,9.0,25.0,23.0,0.15,0.0,8.0
0.0,0.0,-4.01705695064399,-0.5738652786634272,0.0,1572,0,0,0.0,0.0,4892,343,1132,0.07011447260834015,0.2313982011447261,2.405468516688483,0.0,8,0.2,0.6,5.762194431008538,1.1421574184340622,701,3.0901103407906643,85184411ee9350871c8ec8bd5b9a50d4c4fa28b8e8d3139c78a9670dac125fe7,655c5f872cdc655f56ececbd173f99b4364959510a8480f89160fac8a05d8f11,0.9925106990014265,5608,90,290,0.016048502139800285,0.05171184022824536,0.0,19628,760,2788,0.03872019563888323,0.14204198084369268,6.686892118729597,0.8487930299166839,0.0,1.0,0.3223965763195435,0.7674750356633381,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,250002,1.0,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,4036,90,290,0.022299306243805748,0.07185332011892963,14736,417,1656,0.028298045602605862,0.11237785016286644,bounded_bc_train171001,0.26676176890156916,0.35,1.0,0.25,0.6959619407771256,1.1478370637568003,3.9699322812114843,1.375,4.556835412979126,0.3,10.0,25.0,24.0,0.15,0.0,17.0
0.0,0.0,-2.9162216839170725,-0.4166030977024389,0.0,1620,0,0,0.0,0.0,5223,329,1151,0.06299061841853341,0.22037143404173845,2.4604127906261546,0.0,8,0.2,0.6,5.767373882990796,1.1681962520173184,701,2.3747887945967108,2923d71fb7d4ec0b2d7c7e2d7b111a7a452ed66ff813cad43690ff75905a2c98,ff33112d44d6c058c3ed59321e8e4403cc99a3b8a8a1746bee61d22fe1dc1fa3,0.989657631954351,5608,62,103,0.011055634807417974,0.018366619115549217,0.0,19628,601,2446,0.03061952313022213,0.12461789280619523,6.30501685734299,0.7531785319566583,0.0,1.0,0.14693295292439373,0.2995720399429387,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,250003,1.0,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3988,62,103,0.015546639919759278,0.025827482447342027,14405,272,1295,0.018882332523429364,0.08989934050676848,bounded_bc_train171001,0.081490727532097,0.35,1.0,0.25,0.6959619407771256,1.0588514713124948,3.216202732903624,0.25,3.405480995774269,0.3,3.0,25.0,24.0,0.15,0.0,3.0
0.0,0.0,-4.43949835664219,-0.6342140509488843,0.25,1951,114,132,0.0584315735520246,0.06765761148129165,4317,385,1259,0.08918230252490156,0.2916377113736391,2.4261982512318885,0.125,8,0.2,0.6,5.721628361992771,1.13871991831539,701,2.2757672212366074,0543e24097c3df087f57f5f54396015d9827cdeee4730dfe839a5a03d6410b9f,4e754d9fec2f334ddc2c93ea625103015dba85c8427164e36b1d69398050beed,0.9748573466476462,5608,216,322,0.03851640513552068,0.05741797432239658,0.25,19628,650,2736,0.033115956796413284,0.13939270429997963,6.4660389593152905,0.7475999499652561,0.0,0.875,0.1355206847360913,0.7047075606276747,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,250004,0.625,7.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3657,102,190,0.02789171452009844,0.051955154498222585,15311,265,1477,0.017307817908693096,0.0964665926458102,bounded_bc_train171001,0.24554208273894437,0.35,1.0,0.25,0.6959619407771256,1.1486479092889517,3.1696640819417587,1.25,3.6408280208706856,0.3,4.0,25.0,22.0,0.15,0.0,6.0
0.0,0.0,-1.630812046453741,-0.23297314949339157,0.0,2448,0,0,0.0,0.0,8424,420,1481,0.04985754985754986,0.17580721747388414,2.472405185676864,0.0,8,0.2,0.6,5.83789113999228,1.1967928539056758,701,2.4903865375562777,a2113d8d846647b50324ec18dcfc2e1e844ffc3a4fd2ec3fcf97fd3ee42b0059,73e6bfe0a8ee7c0960f93db8fb8d645b8b55fa96098898f86173cfadf85dc723,0.9473965763195435,5608,0,0,0.0,0.0,0.0,19628,790,3037,0.040248624414102305,0.15472793967801102,5.9919988495183105,0.7756969254774795,0.0,1.0,0.1797432239657632,0.4094151212553495,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,250005,1.0,8.0,1.2,1.0,350.0,1.2,0.3,260.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3160,0,0,0.0,0.0,11204,370,1556,0.03302392002856123,0.13887897179578723,bounded_bc_train171001,0.0,0.35,1.0,0.25,0.6959619407771256,0.9999999974151087,3.4355495958918594,0.0,3.4355495870113373,0.3,0.0,25.0,24.0,0.15,0.0,0.0
0.0,0.0,-3.7552255575203617,-0.5364607939314803,0.0,1633,0,0,0.0,0.0,5459,383,1372,0.0701593698479575,0.2513280820663125,2.400179802745344,0.0,8,0.2,0.6,5.694800640980247,1.196262582716614,701,2.1173147280142617,c562a81a42eb0e8473f6325ef83902528bda8dc34c4b12cbf11cc1b8ba327937,2e9c42c8c53fde9cc05d580f51116de9ebcb52b87941e1c56f29f5609158c240,0.9989300998573466,5608,28,109,0.004992867332382311,0.019436519258202566,0.0,19628,868,3194,0.0442225392296719,0.16272671693499083,8.041039284705963,0.7388644937934692,0.0,1.0,0.2282453637660485,0.47075606276747506,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,250006,1.0,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3975,28,109,0.007044025157232704,0.027421383647798742,14169,485,1822,0.034229656291904866,0.12859058508010446,bounded_bc_train171001,0.12232524964336662,0.35,1.0,0.25,0.6959619407771256,1.038578206557439,3.017690774806769,0.125,3.1341078728437424,0.3,12.0,25.0,24.0,0.15,0.0,13.0
0.0,0.0,-4.632597505037383,-0.661799643576769,0.125,1499,0,0,0.0,0.0,4562,255,955,0.055896536606751424,0.2093380096448926,2.4930535587807654,0.0,8,0.2,0.6,5.901516772020841,1.158649399271837,701,2.331228591006315,070ba0b8fe528a73bbf6fee144f9b700ff99120461be208d3cfe45feb1580d21,e3753370bc6c5a4385d14492c99d289cec7509f3225ada051af7029f4c2e3243,0.9982168330955777,5608,67,420,0.011947218259629102,0.07489300998573467,0.125,19628,726,2506,0.03698797636030161,0.1276747503566334,7.7357353973657155,0.8557056817996679,0.0,1.0,0.24393723252496433,0.39657631954350925,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,250007,0.875,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,4109,67,420,0.016305670479435385,0.10221465076660988,15066,471,1551,0.031262445240939865,0.10294703305455993,bounded_bc_train171001,0.18223965763195435,0.35,1.0,0.25,0.6959619407771256,1.1411553236536434,3.136866918749095,0.625,3.5796523839235306,0.3,17.0,25.0,24.0,0.15,0.0,15.0
0.0,0.0,-7.773559067456995,-1.1105084382081423,0.125,1461,0,0,0.0,0.0,4170,219,973,0.05251798561151079,0.23333333333333334,2.6477306772580773,0.0,8,0.2,0.6,6.125650432019029,1.7718195282699352,701,2.4286059779725155,105af453826b5fe367cc6929a3367fbcba8a1cf5eed485bbb80261868738ec73,323a75b1911877943fc647dc65b14d06b441a5ba65608a76a181291dff62ce2a,0.9969686162624821,5608,289,528,0.05153352353780314,0.09415121255349501,0.125,19628,473,2057,0.024098227022620745,0.10479926635418789,7.803673209817282,0.9904299489771827,0.0,0.875,0.19828815977175462,0.4037089871611983,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,250008,0.875,7.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,4147,289,528,0.06968893175789727,0.1273209549071618,15458,254,1084,0.016431621167033252,0.07012550135851986,bounded_bc_train171001,0.27425106990014264,0.35,1.0,0.25,0.6959619407771256,1.0490330335378233,3.9459080134814224,0.875,4.139387853443623,0.3,9.0,25.0,23.0,0.15,1.0,7.0
0.0,0.0,-4.280924177336935,-0.6115605967624193,0.125,1637,0,0,0.0,0.0,5363,351,1218,0.0654484430356144,0.22711169121760208,2.454769215463513,0.0,8,0.2,0.6,5.88610117600183,1.1943075730897756,701,2.624345861003481,843ca8ac48b30424be66b00ef27dcf4efe8f18559588ab84b00f644963584f6c,76eb9781dc7b54671cae13b2da644a72b1dd46aed65a1cf1f9c5f212c1e7329e,0.9941155492154066,5608,97,163,0.017296718972895864,0.02906562054208274,0.125,19628,632,2567,0.03219889953128184,0.13078255553291215,6.692259273867716,0.8705892527795472,0.0,1.0,0.17403708987161198,0.33523537803138376,none,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,250009,0.875,8.0,1.2,1.0,350.0,1.2,0.3,350.0,1.0,none,0.0,0.0,0.0,0.0,0.0,3971,97,163,0.024427096449257113,0.04104759506421556,14265,281,1349,0.01969856291622853,0.09456712232737469,bounded_bc_train171001,0.16672610556348075,0.35,1.0,0.25,0.6959619407771256,1.066759121353572,3.5783859780112963,0.5,3.817275881767273,0.3,5.0,25.0,24.0,0.15,0.0,6.0
