comparison,method,method_display,budget_steps,metric,metric_display,kind,direction,proposed_mean,baseline_mean,delta,ci_low,ci_high,raw_p,holm_p,favorable_cross_seed_pairs,total_cross_seed_pairs,favorable_ci,confirmatory,strict_superiority
proposed_minus_mappo,mappo,MAPPO,1000000,success,Success,rate,higher,0.9127604166666666,0.0026041666666666665,0.91015625,0.87890625,0.9388020833333334,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_mappo,mappo,MAPPO,1000000,collision,Collision,rate,lower,0.07421875,0.66015625,-0.5859375,-0.6393229166666667,-0.5286458333333333,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_mappo,mappo,MAPPO,1000000,deadlock,Deadlock,rate,lower,0.013020833333333334,0.3372395833333333,-0.32421875,-0.375,-0.27734375,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_mappo,mappo,MAPPO,1000000,progress,Goal progress,value,higher,2.3595063316774905,-1.5597824695287272,3.9192888012062177,3.736753121757141,4.110146636292934,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_mappo,mappo,MAPPO,1000000,objective_s,Objective/s,value,higher,-0.5637748352781808,-4.275724761099268,3.7119499258210875,3.5407488737710096,3.8808876339417457,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_mappo,mappo,MAPPO,1000000,risk_065,Risk <0.65 m,rate,lower,0.21787327627199238,0.10444900142653353,0.11342427484545885,0.07082144555397055,0.15491262482168328,4.9999750001249995e-06,nan,0,9,False,False,
proposed_minus_mappo,mappo,MAPPO,1000000,risk_100,Risk <1.0 m,rate,lower,0.4904451973371374,0.2834789586305278,0.20696623870660957,0.12792662268188298,0.27887244412743695,4.9999750001249995e-06,nan,0,9,False,False,
proposed_minus_ippo,ippo,IPPO,1000000,success,Success,rate,higher,0.9127604166666666,0.00390625,0.9088541666666666,0.8776041666666666,0.9388020833333334,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_ippo,ippo,IPPO,1000000,collision,Collision,rate,lower,0.07421875,0.3893229166666667,-0.3151041666666667,-0.40885416666666663,-0.2109375,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_ippo,ippo,IPPO,1000000,deadlock,Deadlock,rate,lower,0.013020833333333334,0.6067708333333334,-0.59375,-0.6940104166666666,-0.5065104166666666,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_ippo,ippo,IPPO,1000000,progress,Goal progress,value,higher,2.3595063316774905,-0.5603408012151098,2.9198471328926003,2.531622991966887,3.2664070227478663,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_ippo,ippo,IPPO,1000000,objective_s,Objective/s,value,higher,-0.5637748352781808,-2.8690622593913546,2.3052874241131738,2.051836639297213,2.5668512460030692,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_ippo,ippo,IPPO,1000000,risk_065,Risk <0.65 m,rate,lower,0.21787327627199238,0.23500653827864956,-0.017133262006657185,-0.07670589633856392,0.03732799869234424,0.4203428982855086,nan,7,9,False,False,
proposed_minus_ippo,ippo,IPPO,1000000,risk_100,Risk <1.0 m,rate,lower,0.4904451973371374,0.5313242986210176,-0.040879101283880226,-0.12486700546837848,0.03775893069424624,0.1879840600796996,nan,8,9,False,False,
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,1000000,success,Success,rate,higher,0.9127604166666666,0.0026041666666666665,0.91015625,0.87890625,0.9401041666666666,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,1000000,collision,Collision,rate,lower,0.07421875,0.6510416666666666,-0.5768229166666666,-0.6223958333333334,-0.53125,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,1000000,deadlock,Deadlock,rate,lower,0.013020833333333334,0.3463541666666667,-0.33333333333333337,-0.3776041666666667,-0.2890625,4.9999750001249995e-06,nan,9,9,True,False,
