method,method_display,budget_steps,metric,metric_display,kind,mean,ci_low,ci_high
mappo,MAPPO,1000000,success,Success,rate,0.0026041666666666665,0.0,0.010416666666666666
mappo,MAPPO,1000000,collision,Collision,rate,0.66015625,0.6106770833333334,0.70703125
mappo,MAPPO,1000000,deadlock,Deadlock,rate,0.3372395833333333,0.2903645833333333,0.38671875
mappo,MAPPO,1000000,progress,Goal progress,value,-1.5597824695287272,-1.7863616430142428,-1.3316428952326533
mappo,MAPPO,1000000,objective_s,Objective/s,value,-4.275724761099268,-4.4341037269780585,-4.117870528625364
mappo,MAPPO,1000000,risk_065,Risk <0.65 m,rate,0.10444900142653353,0.07727056585829767,0.13541703815977166
mappo,MAPPO,1000000,risk_100,Risk <1.0 m,rate,0.2834789586305278,0.23360935271041366,0.34042142177841184
mappo,MAPPO,3000000,success,Success,rate,0.0013020833333333333,0.0,0.0078125
mappo,MAPPO,3000000,collision,Collision,rate,0.6393229166666666,0.57421875,0.69921875
mappo,MAPPO,3000000,deadlock,Deadlock,rate,0.359375,0.2994791666666667,0.4231770833333333
mappo,MAPPO,3000000,progress,Goal progress,value,-1.4328029011764254,-1.7661124458158155,-1.0762184543321685
mappo,MAPPO,3000000,objective_s,Objective/s,value,-3.7112510739571967,-3.9014665340478825,-3.525641824781953
mappo,MAPPO,3000000,risk_065,Risk <0.65 m,rate,0.10158107465525439,0.0748331995958155,0.1319692106514503
mappo,MAPPO,3000000,risk_100,Risk <1.0 m,rate,0.28728304802662863,0.23509569662387067,0.33862339514978607
mappo,MAPPO,5000000,success,Success,rate,0.0026041666666666665,0.0,0.009114583333333334
mappo,MAPPO,5000000,collision,Collision,rate,0.5872395833333334,0.4921875,0.6783854166666666
mappo,MAPPO,5000000,deadlock,Deadlock,rate,0.41015625,0.3177083333333333,0.5065104166666666
mappo,MAPPO,5000000,progress,Goal progress,value,-1.3810309387821083,-1.6629932466545143,-1.098904932133155
mappo,MAPPO,5000000,objective_s,Objective/s,value,-3.420848596038353,-3.77974553966738,-2.9612971283381704
mappo,MAPPO,5000000,risk_065,Risk <0.65 m,rate,0.08813302425106989,0.058175820256776034,0.11746611982881598
mappo,MAPPO,5000000,risk_100,Risk <1.0 m,rate,0.2508767237280076,0.19133343735140274,0.3126638284593437
ippo,IPPO,1000000,success,Success,rate,0.00390625,0.0,0.013020833333333334
ippo,IPPO,1000000,collision,Collision,rate,0.3893229166666667,0.2890625,0.4765625
ippo,IPPO,1000000,deadlock,Deadlock,rate,0.6067708333333334,0.5208333333333334,0.7057291666666666
ippo,IPPO,1000000,progress,Goal progress,value,-0.5603408012151098,-0.9010572630562819,-0.15752852528142644
ippo,IPPO,1000000,objective_s,Objective/s,value,-2.8690622593913546,-3.1340720104213258,-2.6144761667005403
ippo,IPPO,1000000,risk_065,Risk <0.65 m,rate,0.23500653827864956,0.1848846885401807,0.28668865905848784
ippo,IPPO,1000000,risk_100,Risk <1.0 m,rate,0.5313242986210176,0.45938837375178326,0.6040184409177365
ippo,IPPO,3000000,success,Success,rate,0.032552083333333336,0.0,0.08984375
ippo,IPPO,3000000,collision,Collision,rate,0.3098958333333333,0.2421875,0.37109375
ippo,IPPO,3000000,deadlock,Deadlock,rate,0.6575520833333334,0.609375,0.703125
ippo,IPPO,3000000,progress,Goal progress,value,0.1939925398376848,-0.7090034890687092,1.282126160865299
ippo,IPPO,3000000,objective_s,Objective/s,value,-2.199022489514134,-2.6783256494731886,-1.6570088714259814
ippo,IPPO,3000000,risk_065,Risk <0.65 m,rate,0.2944602948169282,0.2061634421065145,0.38623432299096516
ippo,IPPO,3000000,risk_100,Risk <1.0 m,rate,0.6065442225392297,0.4948433042082739,0.7236548234664764
ippo,IPPO,5000000,success,Success,rate,0.08723958333333333,0.0026041666666666665,0.23046875
ippo,IPPO,5000000,collision,Collision,rate,0.28125,0.16015625,0.4375
ippo,IPPO,5000000,deadlock,Deadlock,rate,0.6315104166666666,0.53125,0.74609375
ippo,IPPO,5000000,progress,Goal progress,value,0.5766278872421632,-0.8667803583259228,2.09252518563735
ippo,IPPO,5000000,objective_s,Objective/s,value,-2.043586304978622,-2.988341655103913,-1.1969831722088762
ippo,IPPO,5000000,risk_065,Risk <0.65 m,rate,0.3173294103661436,0.18938718497384688,0.46955242510699
ippo,IPPO,5000000,risk_100,Risk <1.0 m,rate,0.6086543033761294,0.4605173412981455,0.7584254636233952
lagrangian,MAPPO-Lagrangian,1000000,success,Success,rate,0.0026041666666666665,0.0,0.0078125
lagrangian,MAPPO-Lagrangian,1000000,collision,Collision,rate,0.6510416666666666,0.609375,0.6927083333333334
lagrangian,MAPPO-Lagrangian,1000000,deadlock,Deadlock,rate,0.3463541666666667,0.3033854166666667,0.3893229166666667
lagrangian,MAPPO-Lagrangian,1000000,progress,Goal progress,value,-1.4877112283138558,-1.711021629406605,-1.2521695146696101
lagrangian,MAPPO-Lagrangian,1000000,objective_s,Objective/s,value,-4.0049113028228875,-4.240583583174169,-3.766647674579363
lagrangian,MAPPO-Lagrangian,1000000,risk_065,Risk <0.65 m,rate,0.10152163575844035,0.08131241084165479,0.1232614122681883
lagrangian,MAPPO-Lagrangian,1000000,risk_100,Risk <1.0 m,rate,0.28508380884450785,0.25059438896814074,0.3200639711126961
lagrangian,MAPPO-Lagrangian,3000000,success,Success,rate,0.00390625,0.0,0.013020833333333334
lagrangian,MAPPO-Lagrangian,3000000,collision,Collision,rate,0.6861979166666666,0.6419270833333334,0.7265625
lagrangian,MAPPO-Lagrangian,3000000,deadlock,Deadlock,rate,0.3098958333333333,0.2708333333333333,0.3541666666666667
lagrangian,MAPPO-Lagrangian,3000000,progress,Goal progress,value,-1.2307988671042647,-1.493005854623819,-0.9442159358489638
lagrangian,MAPPO-Lagrangian,3000000,objective_s,Objective/s,value,-3.801572752458806,-4.066232024775025,-3.546552663115302
lagrangian,MAPPO-Lagrangian,3000000,risk_065,Risk <0.65 m,rate,0.12724381835473134,0.09076319543509274,0.1656562054208274
lagrangian,MAPPO-Lagrangian,3000000,risk_100,Risk <1.0 m,rate,0.34773240608654304,0.25334269495958156,0.4328489063242986
lagrangian,MAPPO-Lagrangian,5000000,success,Success,rate,0.005208333333333333,0.0,0.014322916666666666
lagrangian,MAPPO-Lagrangian,5000000,collision,Collision,rate,0.5768229166666666,0.5169270833333334,0.6315104166666666
lagrangian,MAPPO-Lagrangian,5000000,deadlock,Deadlock,rate,0.41796875,0.36328125,0.4791666666666667
lagrangian,MAPPO-Lagrangian,5000000,progress,Goal progress,value,-1.4064989309990779,-1.7944577160058541,-0.9728792443405845
lagrangian,MAPPO-Lagrangian,5000000,objective_s,Objective/s,value,-3.5036953788898657,-3.805626739958326,-3.1489730704703285
lagrangian,MAPPO-Lagrangian,5000000,risk_065,Risk <0.65 m,rate,0.12248870660960531,0.06735875832144554,0.1847364627912505
lagrangian,MAPPO-Lagrangian,5000000,risk_100,Risk <1.0 m,rate,0.331490727532097,0.20461728780313837,0.4618405997384688
mat,MAT,1000000,success,Success,rate,0.00390625,0.0,0.013020833333333334
mat,MAT,1000000,collision,Collision,rate,0.5078125,0.1875,0.7421875
mat,MAT,1000000,deadlock,Deadlock,rate,0.48828125,0.2578125,0.8046875
mat,MAT,1000000,progress,Goal progress,value,-1.2199357243953273,-2.0632164120421903,0.15580155002826268
mat,MAT,1000000,objective_s,Objective/s,value,-4.279822988722429,-4.528962366732532,-3.948231103784763
mat,MAT,1000000,risk_065,Risk <0.65 m,rate,0.2893188302425107,0.07203994293865906,0.6486269614835948
mat,MAT,1000000,risk_100,Risk <1.0 m,rate,0.4983208511650024,0.24567582025677603,0.8371533969329527
mat,MAT,3000000,success,Success,rate,0.00390625,0.0,0.01171875
mat,MAT,3000000,collision,Collision,rate,0.60546875,0.55859375,0.65625
mat,MAT,3000000,deadlock,Deadlock,rate,0.390625,0.33984375,0.4375
mat,MAT,3000000,progress,Goal progress,value,-1.9047220702050254,-2.1360202433774247,-1.6875863418506925
mat,MAT,3000000,objective_s,Objective/s,value,-4.515071155814261,-4.637112555806727,-4.388806771900807
mat,MAT,3000000,risk_065,Risk <0.65 m,rate,0.08585948644793151,0.06348074179743224,0.10881776034236805
mat,MAT,3000000,risk_100,Risk <1.0 m,rate,0.243268544935806,0.2018990727532097,0.2860199714693295
mat,MAT,5000000,success,Success,rate,0.00390625,0.0,0.01171875
mat,MAT,5000000,collision,Collision,rate,0.6158854166666666,0.5677083333333334,0.6640625
mat,MAT,5000000,deadlock,Deadlock,rate,0.3802083333333333,0.33203125,0.4296875
mat,MAT,5000000,progress,Goal progress,value,-1.8634255597135052,-2.101502954951138,-1.6298117605794689
mat,MAT,5000000,objective_s,Objective/s,value,-4.549809153757294,-4.68314737584816,-4.417362056030303
mat,MAT,5000000,risk_065,Risk <0.65 m,rate,0.08740489776509748,0.06622979077508322,0.10970934379457915
mat,MAT,5000000,risk_100,Risk <1.0 m,rate,0.2406383737517832,0.20399429386590584,0.2792294490014265
hatrpo,HATRPO,1000000,success,Success,rate,0.0,0.0,0.0
hatrpo,HATRPO,1000000,collision,Collision,rate,0.7877604166666666,0.7486979166666666,0.828125
hatrpo,HATRPO,1000000,deadlock,Deadlock,rate,0.21223958333333334,0.171875,0.25133463541665907
hatrpo,HATRPO,1000000,progress,Goal progress,value,-1.3419993774732575,-1.6017994286958128,-1.0757500615155249
hatrpo,HATRPO,1000000,objective_s,Objective/s,value,-4.805289905158586,-4.927436560815242,-4.692418830726839
hatrpo,HATRPO,1000000,risk_065,Risk <0.65 m,rate,0.29930456490727536,0.2609367570137898,0.3385788159771755
hatrpo,HATRPO,1000000,risk_100,Risk <1.0 m,rate,0.5586216119828816,0.5096584492391821,0.60162602532097
hatrpo,HATRPO,3000000,success,Success,rate,0.0,0.0,0.0
hatrpo,HATRPO,3000000,collision,Collision,rate,0.8854166666666666,0.8424479166666666,0.921875
hatrpo,HATRPO,3000000,deadlock,Deadlock,rate,0.11458333333333333,0.078125,0.15755208333333334
hatrpo,HATRPO,3000000,progress,Goal progress,value,-1.5114389763912186,-1.7860943483101437,-1.2316350168228383
hatrpo,HATRPO,3000000,objective_s,Objective/s,value,-5.089893094106011,-5.360733555623315,-4.850449339420794
hatrpo,HATRPO,3000000,risk_065,Risk <0.65 m,rate,0.3038962196861626,0.2636557150499287,0.3490701527579647
hatrpo,HATRPO,3000000,risk_100,Risk <1.0 m,rate,0.5721736804564908,0.5298234664764622,0.6200071326676176
hatrpo,HATRPO,5000000,success,Success,rate,0.0,0.0,0.0
hatrpo,HATRPO,5000000,collision,Collision,rate,0.8528645833333334,0.7734375,0.9244791666666666
