method,budget_steps,training_seed,success,collision,deadlock,progress,objective_s,risk_065,risk_100
proposed,reference,171001,0.91796875,0.06640625,0.015625,2.3471016373795726,-0.5792237103066804,0.22298502139800286,0.5068206134094151
proposed,reference,171002,0.90234375,0.08203125,0.015625,2.3572505046391514,-0.5623012679633592,0.21857168330955776,0.4791815263908702
proposed,reference,171003,0.91796875,0.07421875,0.0078125,2.3741668530137465,-0.5497995275645031,0.21206312410841655,0.48533345221112695
mappo,1000000,260000,0.0,0.6796875,0.3203125,-1.5783020042581484,-4.27026036721942,0.1273626961483595,0.32716654778887305
mappo,1000000,260001,0.00390625,0.62890625,0.3671875,-1.484204164124094,-4.31986034514517,0.08300641940085593,0.25040121255349496
mappo,1000000,260002,0.00390625,0.671875,0.32421875,-1.6168412402039394,-4.237053570933217,0.10297788873038516,0.2728691155492154
mappo,3000000,260000,0.0,0.640625,0.359375,-1.5860776227200404,-3.890871311651642,0.08938124108416548,0.2506241084165478
mappo,3000000,260001,0.00390625,0.59375,0.40234375,-1.6006132723996416,-3.611413678221692,0.12116619115549215,0.31833987161198285
mappo,3000000,260002,0.0,0.68359375,0.31640625,-1.111717808409594,-3.631468231998256,0.09419579172610555,0.29288516405135523
mappo,5000000,260000,0.00390625,0.6640625,0.33203125,-1.3932170829502866,-3.7189563813,0.06584343794579171,0.19574714693295295
mappo,5000000,260001,0.00390625,0.60546875,0.390625,-1.549578833510168,-3.6136211214157754,0.09009450784593438,0.2534771754636234
mappo,5000000,260002,0.0,0.4921875,0.5078125,-1.2002968998858705,-2.929968285399284,0.10846112696148359,0.3034058487874465
ippo,1000000,260000,0.0078125,0.2890625,0.703125,-0.8251670923782513,-2.886075588578061,0.26636055634807415,0.5728423680456491
ippo,1000000,260001,0.00390625,0.4453125,0.55078125,-0.20286339952144772,-2.6495386887196193,0.22311875891583452,0.5275499286733238
ippo,1000000,260002,0.0,0.43359375,0.56640625,-0.6529919117456302,-3.0715725008763823,0.21554029957203993,0.4935805991440799
ippo,3000000,260000,0.00390625,0.3203125,0.67578125,-0.7427932614227757,-2.687096237640481,0.26814372325249647,0.5540745363766049
ippo,3000000,260001,0.09375,0.25390625,0.65234375,1.3483174887514906,-1.6224927546861536,0.386456847360913,0.7299839514978601
ippo,3000000,260002,0.0,0.35546875,0.64453125,-0.023546607815660536,-2.2874784762157674,0.22878031383737518,0.535574179743224
ippo,5000000,260000,0.0078125,0.44921875,0.54296875,-0.9047984046628699,-3.0338475857159257,0.21424750356633382,0.47035485021398
