method,method_display,comparison,metric,metric_display,kind,direction,delta,ci_low,ci_high
mappo,MAPPO,5000000_minus_1000000,success,Success,rate,higher,0.0,-0.006510416666666667,0.006510416666666667
mappo,MAPPO,5000000_minus_1000000,collision,Collision,rate,lower,-0.07291666666666667,-0.18359375,0.02734375
mappo,MAPPO,5000000_minus_1000000,deadlock,Deadlock,rate,lower,0.07291666666666667,-0.02734375,0.1875
mappo,MAPPO,5000000_minus_1000000,progress,Goal progress,value,higher,0.1787515307466189,-0.11940983649498473,0.47200153718974125
mappo,MAPPO,5000000_minus_1000000,objective_s,Objective/s,value,higher,0.8548761650609157,0.5017914653521888,1.2775167923562323
mappo,MAPPO,5000000_minus_1000000,risk_065,Risk <0.65 m,rate,lower,-0.016315977175463625,-0.06361447931526391,0.027906562054208276
mappo,MAPPO,5000000_minus_1000000,risk_100,Risk <1.0 m,rate,lower,-0.03260223490252021,-0.12713980028530672,0.053064446623870574
mappo,MAPPO,5000000_minus_3000000,success,Success,rate,higher,0.0013020833333333333,0.0,0.0078125
mappo,MAPPO,5000000_minus_3000000,collision,Collision,rate,lower,-0.052083333333333336,-0.19140625,0.06640625
mappo,MAPPO,5000000_minus_3000000,deadlock,Deadlock,rate,lower,0.05078125,-0.06640625,0.19140625
mappo,MAPPO,5000000_minus_3000000,progress,Goal progress,value,higher,0.051771962394316993,-0.22057207060279324,0.2977051202207804
mappo,MAPPO,5000000_minus_3000000,objective_s,Objective/s,value,higher,0.29040247791884394,-0.04523791091388064,0.678012426303874
mappo,MAPPO,5000000_minus_3000000,risk_065,Risk <0.65 m,rate,lower,-0.0134480504041845,-0.04925998573466476,0.023448644793152635
mappo,MAPPO,5000000_minus_3000000,risk_100,Risk <1.0 m,rate,lower,-0.03640632429862102,-0.0933636471707085,0.025870779838326197
ippo,IPPO,5000000_minus_1000000,success,Success,rate,higher,0.08333333333333333,0.0,0.23046875
ippo,IPPO,5000000_minus_1000000,collision,Collision,rate,lower,-0.10807291666666667,-0.2942708333333333,0.14453125
ippo,IPPO,5000000_minus_1000000,deadlock,Deadlock,rate,lower,0.024739583333333332,-0.15234375,0.18359375
ippo,IPPO,5000000_minus_1000000,progress,Goal progress,value,higher,1.136968688457273,-0.016496466961689264,2.2809231925668425
ippo,IPPO,5000000_minus_1000000,objective_s,Objective/s,value,higher,0.8254759544127322,-0.09438333855624897,1.4806569401606635
ippo,IPPO,5000000_minus_1000000,risk_065,Risk <0.65 m,rate,lower,0.08232287208749406,-0.06848884034712314,0.2463445078459344
ippo,IPPO,5000000_minus_1000000,risk_100,Risk <1.0 m,rate,lower,0.07733000475511174,-0.10287424215406564,0.24273470934379432
ippo,IPPO,5000000_minus_3000000,success,Success,rate,higher,0.0546875,0.0,0.14583333333333334
ippo,IPPO,5000000_minus_3000000,collision,Collision,rate,lower,-0.028645833333333332,-0.1484375,0.1171875
ippo,IPPO,5000000_minus_3000000,deadlock,Deadlock,rate,lower,-0.026041666666666668,-0.15234375,0.10807291666666667
ippo,IPPO,5000000_minus_3000000,progress,Goal progress,value,higher,0.3826353474044784,-0.13019519748049788,0.8269082042368002
ippo,IPPO,5000000_minus_3000000,objective_s,Objective/s,value,higher,0.1554361845355117,-0.3085117388120312,0.4957351035887618
ippo,IPPO,5000000_minus_3000000,risk_065,Risk <0.65 m,rate,lower,0.022869115549215408,-0.07964849322396576,0.10719842189728951
ippo,IPPO,5000000_minus_3000000,risk_100,Risk <1.0 m,rate,lower,0.002110080836899668,-0.10745140870185449,0.09018366619115548
lagrangian,MAPPO-Lagrangian,5000000_minus_1000000,success,Success,rate,higher,0.0026041666666666665,0.0,0.009114583333333334
lagrangian,MAPPO-Lagrangian,5000000_minus_1000000,collision,Collision,rate,lower,-0.07421875,-0.14713541666666666,-0.0078125
lagrangian,MAPPO-Lagrangian,5000000_minus_1000000,deadlock,Deadlock,rate,lower,0.07161458333333333,0.006510416666666667,0.14453125
lagrangian,MAPPO-Lagrangian,5000000_minus_1000000,progress,Goal progress,value,higher,0.08121229731477797,-0.3299301343698365,0.5198655118176247
lagrangian,MAPPO-Lagrangian,5000000_minus_1000000,objective_s,Objective/s,value,higher,0.5012159239330228,0.29136691297268924,0.6909489691637608
lagrangian,MAPPO-Lagrangian,5000000_minus_1000000,risk_065,Risk <0.65 m,rate,lower,0.020967070851165004,-0.033048398121730854,0.08055456490727532
lagrangian,MAPPO-Lagrangian,5000000_minus_1000000,risk_100,Risk <1.0 m,rate,lower,0.04640691868758915,-0.08773181169757488,0.1828648805278172
lagrangian,MAPPO-Lagrangian,5000000_minus_3000000,success,Success,rate,higher,0.0013020833333333333,-0.00390625,0.0078125
lagrangian,MAPPO-Lagrangian,5000000_minus_3000000,collision,Collision,rate,lower,-0.109375,-0.19010416666666666,-0.03125
